id,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,con
246919,,Intan,3.34519282,-33.73010074,47.7189,292.619,96.116,46.242,9.92,6.527,K3/4 III/V,1.037,25.415,30.48,-26.497,-1.89E-05,8.30E-05,-7.77E-06,For
250909,33Alp Per,Mirfak,3.40537459,49.86124281,155.2795,24.11,-26.01,-2,1.79,-4.166,F5IB,0.481,62.885,77.881,118.709,-5.55E-06,2.20E-05,-1.42E-05,Per
260533,18Eps Eri,Ran,3.54884565,-9.458263,3.2198,-974.758,20.876,16.9,3.72,6.181,K2 V,0.881,1.9012,2.5439,-0.5296,2.24E-05,4.59E-06,-2.52E-06,Eri
267961,,Tupi,3.66197141,-52.91584563,33.4859,-192.838,-92.021,0.658,7.12,4.496,F8/G0 V,0.583,11.602,16.526,-26.713,1.90E-05,-2.74E-05,-9.54E-06,Ret
271928,23Del Eri,Rana,3.72080599,-9.76339431,9.0888,-93.634,744.36,-5.1,3.52,3.727,K0 IV,0.915,5.0336,7.4091,-1.5411,3.65E-06,-1.97E-06,3.32E-05,Eri
273165,38Omi Per,Atik,3.73864845,32.28824964,330.8681,6.091,-9.732,19,3.84,-3.758,B1II,0.022,156.087,232.105,176.743,5.71E-06,2.60E-05,-2.82E-06,Per
273677,16 Tau,Celaeno,3.74672615,24.28946632,135.4051,19.849,-44.966,16.494,5.45,-0.208,B7IV,-0.034,68.656,102.56,55.698,4.48E-06,3.01E-05,-2.00E-05,Tau
273761,17 Tau,Electra,3.747927,24.113339,119.8224,20.542,-46.081,4.796,3.72,-1.673,B6III,-0.105,60.81,90.902,48.953,-1.35E-06,1.94E-05,-2.24E-05,Tau
274126,19 Tau,Taygeta,3.75347074,24.46726881,104.7735,16.292,-47.206,6,4.3,-0.801,B6IV,-0.11,52.9101,79.3409,43.3948,1.72E-06,1.75E-05,-1.93E-05,Tau
274844,20 Tau,Maia,3.76377969,24.36775119,130.3558,19.516,-45.527,16.286,3.87,-1.706,B7III,-0.063,65.614,98.969,53.784,4.66E-06,2.94E-05,-1.93E-05,Tau
274922,21 Tau,Asterope,3.76513238,24.55451092,136.8874,20.331,-46.022,11.793,5.76,0.078,B8V,-0.036,68.762,103.798,56.885,1.82E-06,2.72E-05,-2.28E-05,Tau
275407,23 Tau,Merope,3.77210352,23.94834792,141.5028,13.075,-48.404,6,4.14,-1.614,B6IV,-0.051,71.2236,107.9402,57.4376,3.03E-06,2.09E-05,-2.79E-05,Tau
276732,25Eta Tau,Alcyone,3.79141,24.105137,123.6094,19.35,-43.11,10,2.85,-2.61,B7III,-0.086,61.665,94.489,50.484,1.16E-06,2.30E-05,-1.94E-05,Tau
278603,27 Tau,Atlas,3.81937298,24.05341343,123.1762,19.079,-46.193,9,3.62,-1.833,B8III,-0.07,60.782,94.643,50.205,1.03E-06,2.27E-05,-2.14E-05,Tau
278635,28 Tau,Pleione,3.81978241,24.13670934,138.0953,19.496,-47.65,4,5.05,-0.651,B7P,-0.082,68.088,106.045,56.469,-1.92E-06,2.12E-05,-2.74E-05,Tau
288992,34Gam Eri,Zaurak,3.96715748,-13.50851619,58.818,62.227,-112.006,62,2.97,-0.878,"M1 IIIBCA-1,CR-1",1.588,29.0203,49.2816,-13.7393,1.22E-05,5.57E-05,-4.59E-05,Eri
